k,f,Real(g),Imag(g),Abs(g),Real(IFFT(g)),Imag(IFFT(g))
0,0.00000000000000000000000,0.00000000000000000994942,0.00000000000000000000000,0.00000000000000000994942,-0.00000000000000000000000,0.00000000000000022204460
1,0.31159217813395629000000,0.00000000000000000460206,0.00000000000000002341871,0.00000000000000002386660,0.31159217813395623000000,-0.00000000000000013704315
2,0.60795996223728743000000,-0.00000000000000004378864,-0.34999999999999998000000,0.34999999999999998000000,0.60795996223728710000000,0.00000000000000023939184
3,0.87475822892514199000000,0.00000000000000000474005,0.00000000000000006660104,0.00000000000000006676950,0.87475822892514143000000,0.00000000000000017347235
4,1.09934801495810810000000,0.00000000000000001116692,0.00000000000000004676656,0.00000000000000004808130,1.09934801495810790000000,0.00000000000000043021142
5,1.27152178096121920000000,-0.00000000000000031820715,-0.50000000000000000000000,0.50000000000000000000000,1.27152178096121920000000,0.00000000000000022204460
6,1.38408388978591820000000,0.00000000000000000290270,-0.00000000000000005901919,0.00000000000000005909053,1.38408388978591780000000,0.00000000000000052735594
7,1.43325180887933290000000,0.00000000000000003138752,-0.00000000000000005478051,0.00000000000000006313541,1.43325180887933290000000,0.00000000000000049960036
8,1.41885427934186990000000,0.00000000000000001673574,-0.00000000000000007115604,0.00000000000000007309765,1.41885427934187010000000,-0.00000000000000036082248
9,1.34431484883456060000000,0.00000000000000001002128,-0.00000000000000002061390,0.00000000000000002292071,1.34431484883456090000000,-0.00000000000000022204460
10,1.21642201277542710000000,0.00000000000000002873426,-0.00000000000000006072071,0.00000000000000006717635,1.21642201277542710000000,-0.00000000000000005551115
11,1.04489997847413040000000,0.00000000000000002352460,-0.00000000000000003162943,0.00000000000000003941862,1.04489997847413060000000,-0.00000000000000038857806
12,0.84180599477402929000000,0.00000000000000005147499,-0.00000000000000005470113,0.00000000000000007511250,0.84180599477402951000000,-0.00000000000000023592239
13,0.62079056068512850000000,0.00000000000000000533627,0.00000000000000003709215,0.00000000000000003747404,0.62079056068512872000000,0.00000000000000015959456
14,0.39626501902779915000000,-0.00000000000000002521078,-0.00000000000000003435254,0.00000000000000004261080,0.39626501902779937000000,-0.00000000000000005551115
15,0.18252656447731619000000,-0.00000000000000003509273,-0.00000000000000000107364,0.00000000000000003510915,0.18252656447731652000000,-0.00000000000000000000000
16,-0.00710678118654750610000,-0.00000000000000001454343,-0.00000000000000000608056,0.00000000000000001576339,-0.00710678118654739510000,-0.00000000000000005551115
17,-0.16109930132973416000000,0.00000000000000000858805,-0.00000000000000001264463,0.00000000000000001528533,-0.16109930132973382000000,-0.00000000000000009714451
18,-0.27039063944994757000000,0.00000000000000002299334,-0.00000000000000004532870,0.00000000000000005082701,-0.27039063944994723000000,-0.00000000000000005551115
19,-0.32893722119262614000000,0.00000000000000001175930,0.00000000000000001597404,0.00000000000000001983561,-0.32893722119262614000000,0.00000000000000011102230
20,-0.33406960764532978000000,0.00000000000000004028721,-0.00000000000000003679461,0.00000000000000005456100,-0.33406960764532978000000,-0.00000000000000002775558
21,-0.28664440807959479000000,0.00000000000000001939596,0.00000000000000009093578,0.00000000000000009298129,-0.28664440807959513000000,-0.00000000000000016653345
22,-0.19098172475095510000000,-0.00000000000000001238620,0.00000000000000003399346,0.00000000000000003617973,-0.19098172475095510000000,0.00000000000000005551115
23,-0.05459198713851731700000,-0.00000000000000001164692,0.00000000000000001043504,0.00000000000000001563780,-0.05459198713851753900000,0.00000000000000000000000
24,0.11229131446549290000000,-0.00000000000000003858108,-0.00000000000000004208738,0.00000000000000005709507,0.11229131446549306000000,0.00000000000000019428903
25,0.29734482445918942000000,0.00000000000000003251960,0.00000000000000001576797,0.00000000000000003614074,0.29734482445918953000000,-0.00000000000000024286129
